locus	transcript	exp	obs
16:226719	ENST00000320868	2.5754e-01	0
16:226720	ENST00000320868	1.7271e-01	0
16:226722	ENST00000320868	4.7722e-02	0
16:226723	ENST00000320868	1.6606e-01	0
16:226725	ENST00000320868	1.4430e-01	0
16:226726	ENST00000320868	2.3960e-01	0
16:226728	ENST00000320868	2.5841e-01	0
16:226729	ENST00000320868	2.5288e-01	0
16:226731	ENST00000320868	9.8433e-02	0
16:226732	ENST00000320868	2.8638e-01	0
16:226734	ENST00000320868	6.0151e-01	0
16:226735	ENST00000320868	1.4342e-01	0
16:226736	ENST00000320868	1.0650e-01	1
16:226737	ENST00000320868	1.1599e-01	0
16:226738	ENST00000320868	1.2776e-01	0
16:226739	ENST00000320868	1.2603e-01	0
16:226740	ENST00000320868	1.4342e-01	0
16:226741	ENST00000320868	3.6592e-01	0
16:226743	ENST00000320868	1.3523e-01	0
16:226744	ENST00000320868	1.6402e-01	1
16:226745	ENST00000320868	2.3867e-01	0
16:226746	ENST00000320868	2.3736e-01	0
16:226747	ENST00000320868	5.9549e-02	0
16:226749	ENST00000320868	1.1872e-01	0
16:226750	ENST00000320868	1.3076e-01	0
16:226751	ENST00000320868	9.0983e-02	0
16:226752	ENST00000320868	3.0381e-01	0
16:226753	ENST00000320868	1.2497e-01	1
16:226755	ENST00000320868	5.7297e-01	2
16:226756	ENST00000320868	3.0381e-01	0
16:226758	ENST00000320868	1.6606e-01	1
16:226759	ENST00000320868	8.1224e-02	0
16:226760	ENST00000320868	1.2908e-01	0
16:226761	ENST00000320868	3.0660e-01	2
16:226762	ENST00000320868	1.6914e-01	0
16:226764	ENST00000320868	2.7991e-02	0
16:226765	ENST00000320868	1.3196e-01	0
16:226766	ENST00000320868	9.0983e-02	0
16:226767	ENST00000320868	1.6914e-01	0
16:226768	ENST00000320868	1.4813e-01	0
16:226770	ENST00000320868	1.9247e+00	1
16:226771	ENST00000320868	3.0381e-01	0
16:226773	ENST00000320868	5.7297e-01	0
16:226774	ENST00000320868	5.7297e-01	0
16:226776	ENST00000320868	2.4626e-01	0
16:226777	ENST00000320868	1.7271e-01	0
16:226778	ENST00000320868	1.0236e-01	0
16:226779	ENST00000320868	5.7297e-01	2
16:226780	ENST00000320868	2.5046e-01	0
16:226782	ENST00000320868	2.2048e-01	0
16:226783	ENST00000320868	3.0381e-01	0
16:226785	ENST00000320868	5.1462e-01	0
