locus	transcript	exp	obs
21:34697364	ENST00000270139	1.8681e-01	0
21:34697365	ENST00000270139	3.1358e-01	0
21:34697366	ENST00000270139	2.1490e-01	0
21:34697367	ENST00000270139	3.6614e-01	0
21:34697368	ENST00000270139	1.4439e-01	0
21:34697370	ENST00000270139	7.7622e-01	0
21:34697371	ENST00000270139	1.4519e-01	0
21:34697373	ENST00000270139	2.5676e-01	0
21:34697374	ENST00000270139	1.1289e-01	0
21:34697376	ENST00000270139	8.9988e-02	0
21:34697377	ENST00000270139	1.6425e-01	1
21:34697379	ENST00000270139	3.0325e-01	1
21:34697380	ENST00000270139	3.0049e-01	1
21:34697382	ENST00000270139	5.6670e-01	1
21:34697383	ENST00000270139	5.6670e-01	0
21:34697385	ENST00000270139	1.4652e-01	0
21:34697386	ENST00000270139	7.8331e-01	0
21:34697388	ENST00000270139	1.4652e-01	1
21:34697389	ENST00000270139	3.7154e-01	0
21:34697391	ENST00000270139	8.9988e-02	1
21:34697392	ENST00000270139	1.5034e-01	1
21:34697394	ENST00000270139	2.6806e-01	0
21:34697395	ENST00000270139	1.7082e-01	0
21:34697397	ENST00000270139	2.4772e-01	1
21:34697398	ENST00000270139	1.1289e-01	0
21:34697400	ENST00000270139	7.8331e-01	0
21:34697401	ENST00000270139	1.4652e-01	0
21:34697403	ENST00000270139	5.6670e-01	0
21:34697404	ENST00000270139	3.0049e-01	0
21:34697406	ENST00000270139	7.8331e-01	0
21:34697407	ENST00000270139	1.7082e-01	0
21:34697409	ENST00000270139	3.0049e-01	0
21:34697410	ENST00000270139	5.6670e-01	1
21:34697412	ENST00000270139	3.0049e-01	0
21:34697413	ENST00000270139	2.1807e-01	0
21:34697415	ENST00000270139	8.9076e-02	1
21:34697416	ENST00000270139	8.0336e-02	0
21:34697417	ENST00000270139	1.2767e-01	0
21:34697418	ENST00000270139	3.7154e-01	0
21:34697419	ENST00000270139	1.7082e-01	0
21:34697421	ENST00000270139	5.6269e-02	0
21:34697422	ENST00000270139	1.1850e-01	0
21:34697423	ENST00000270139	1.0880e-01	0
21:34697424	ENST00000270139	1.4652e-01	0
21:34697425	ENST00000270139	2.6238e-01	0
21:34697427	ENST00000270139	5.6670e-01	1
21:34697428	ENST00000270139	2.4357e-01	0
21:34697430	ENST00000270139	2.4772e-01	0
21:34697431	ENST00000270139	3.0049e-01	1
21:34697433	ENST00000270139	5.6670e-01	0
21:34697434	ENST00000270139	2.4357e-01	0
21:34697436	ENST00000270139	2.5676e-01	0
21:34707830	ENST00000270139	3.2342e-01	0
21:34707832	ENST00000270139	1.5156e-01	0
21:34707833	ENST00000270139	2.2840e-01	0
21:34707835	ENST00000270139	8.7566e-02	0
21:34707836	ENST00000270139	1.0679e-01	1
21:34707837	ENST00000270139	5.2211e-02	0
21:34707838	ENST00000270139	1.0788e-01	1
21:34707839	ENST00000270139	1.9185e-01	0
21:34707840	ENST00000270139	7.3156e-02	0
21:34707841	ENST00000270139	1.1484e-01	0
21:34707842	ENST00000270139	1.3491e-01	0
21:34707844	ENST00000270139	8.9312e-02	0
21:34707845	ENST00000270139	1.0992e-01	1
21:34707846	ENST00000270139	5.1643e-02	1
21:34707847	ENST00000270139	1.7520e-01	1
21:34707848	ENST00000270139	2.2094e-01	0
21:34707850	ENST00000270139	2.4171e-01	0
21:34707851	ENST00000270139	2.3843e-01	0
21:34707853	ENST00000270139	8.5315e-02	0
21:34707854	ENST00000270139	1.2849e-01	2
21:34707855	ENST00000270139	5.5938e-02	0
21:34707856	ENST00000270139	9.3816e-02	0
21:34707857	ENST00000270139	1.1523e-01	0
21:34707858	ENST00000270139	4.7499e-02	0
21:34707859	ENST00000270139	2.5447e-01	0
21:34707860	ENST00000270139	1.6355e-01	0
21:34707862	ENST00000270139	1.8034e-01	1
21:34707863	ENST00000270139	1.0861e-01	0
21:34707864	ENST00000270139	8.7124e-02	0
21:34707865	ENST00000270139	3.5972e-01	0
21:34707866	ENST00000270139	1.4185e-01	0
21:34707868	ENST00000270139	2.2222e+00	1
21:34707869	ENST00000270139	1.4357e-01	0
21:34707870	ENST00000270139	1.0722e-01	0
21:34707871	ENST00000270139	3.1537e-01	1
21:34707872	ENST00000270139	1.9004e-01	0
21:34707873	ENST00000270139	4.3463e-02	0
21:34707874	ENST00000270139	3.1712e-01	0
21:34707875	ENST00000270139	2.9196e-01	0
21:34707876	ENST00000270139	1.0606e-01	0
21:34707877	ENST00000270139	2.4185e-01	0
21:34707878	ENST00000270139	1.9178e-01	0
21:34707879	ENST00000270139	8.9076e-02	0
21:34707880	ENST00000270139	2.0995e-01	0
21:34707881	ENST00000270139	1.4652e-01	1
21:34707882	ENST00000270139	1.0880e-01	0
21:34707883	ENST00000270139	1.3731e-01	1
21:34707884	ENST00000270139	1.6371e-01	1
21:34707885	ENST00000270139	1.0509e-01	0
21:34707886	ENST00000270139	1.3051e-01	0
21:34707887	ENST00000270139	1.2138e-01	0
21:34707888	ENST00000270139	6.4907e-02	1
21:34707889	ENST00000270139	2.9196e-01	0
21:34707890	ENST00000270139	1.9178e-01	0
21:34707891	ENST00000270139	5.2108e-02	1
21:34707892	ENST00000270139	8.9988e-02	0
21:34707893	ENST00000270139	1.6425e-01	0
21:34707895	ENST00000270139	8.7225e-02	0
21:34707896	ENST00000270139	2.5676e-01	0
21:34707897	ENST00000270139	1.6729e-01	0
21:34707898	ENST00000270139	1.7082e-01	0
21:34707899	ENST00000270139	8.0336e-02	0
21:34707900	ENST00000270139	1.0535e-01	0
21:34707901	ENST00000270139	1.0590e-01	0
21:34707902	ENST00000270139	1.6371e-01	0
21:34707903	ENST00000270139	1.0880e-01	0
21:34707904	ENST00000270139	1.3105e-01	0
21:34707905	ENST00000270139	2.5676e-01	0
21:34707906	ENST00000270139	1.0535e-01	0
21:34707907	ENST00000270139	1.1289e-01	0
21:34707908	ENST00000270139	2.4772e-01	1
21:34707909	ENST00000270139	2.6262e-01	0
21:34707910	ENST00000270139	2.2679e+00	1
21:34707911	ENST00000270139	1.9178e-01	0
21:34707912	ENST00000270139	8.9076e-02	0
21:34707913	ENST00000270139	1.6264e-01	0
21:34707914	ENST00000270139	1.1289e-01	0
21:34707915	ENST00000270139	1.0509e-01	0
21:34707916	ENST00000270139	1.4652e-01	0
21:34707917	ENST00000270139	2.4185e-01	1
21:34707919	ENST00000270139	1.0880e-01	0
21:34707920	ENST00000270139	1.4652e-01	0
21:34707922	ENST00000270139	2.7730e+00	1
21:34707923	ENST00000270139	3.0325e-01	0
21:34707925	ENST00000270139	1.0590e-01	1
21:34707926	ENST00000270139	2.1586e-01	0
21:34707927	ENST00000270139	8.9076e-02	0
21:34707928	ENST00000270139	2.9970e-01	0
21:34707929	ENST00000270139	1.7082e-01	0
21:34707931	ENST00000270139	1.4519e-01	0
21:34707932	ENST00000270139	2.6563e-01	0
21:34707934	ENST00000270139	1.1962e-01	0
21:34707935	ENST00000270139	1.1962e-01	0
21:34707936	ENST00000270139	5.8481e-02	0
21:34707937	ENST00000270139	1.0376e-01	0
21:34707938	ENST00000270139	1.1639e-01	0
21:34707940	ENST00000270139	2.1027e-01	0
21:34707941	ENST00000270139	1.0253e-01	0
21:34707942	ENST00000270139	2.1163e-01	0
21:34707943	ENST00000270139	2.1819e+00	2
21:34707944	ENST00000270139	1.8330e-01	0
21:34707945	ENST00000270139	5.4503e-02	0
21:34707946	ENST00000270139	1.4297e-01	1
21:34707947	ENST00000270139	2.7716e-01	0
21:34707949	ENST00000270139	8.6553e-02	0
21:34707950	ENST00000270139	1.2944e-01	1
21:34707951	ENST00000270139	5.5938e-02	0
21:34707952	ENST00000270139	9.3816e-02	0
21:34707953	ENST00000270139	1.2303e-01	0
21:34713305	ENST00000270139	4.4078e-02	0
21:34713306	ENST00000270139	1.6371e-01	0
21:34713307	ENST00000270139	2.6806e-01	0
21:34713309	ENST00000270139	2.1807e-01	0
21:34713310	ENST00000270139	3.0325e-01	1
21:34713312	ENST00000270139	1.9178e-01	1
21:34713313	ENST00000270139	3.2002e-01	1
21:34713314	ENST00000270139	2.1807e-01	0
21:34713315	ENST00000270139	2.6238e-01	1
21:34713316	ENST00000270139	1.9178e-01	0
21:34713317	ENST00000270139	6.2629e-02	0
21:34713318	ENST00000270139	1.4959e-01	0
21:34713319	ENST00000270139	2.1586e-01	0
21:34713320	ENST00000270139	5.7024e-02	0
21:34713321	ENST00000270139	1.3731e-01	0
21:34713322	ENST00000270139	8.0336e-02	0
21:34713323	ENST00000270139	1.0535e-01	1
21:34713324	ENST00000270139	1.9178e-01	1
21:34713325	ENST00000270139	2.9196e-01	0
21:34713326	ENST00000270139	8.4678e-02	0
21:34713327	ENST00000270139	9.9525e-02	0
21:34713328	ENST00000270139	1.2138e-01	0
21:34713329	ENST00000270139	5.7024e-02	0
21:34713330	ENST00000270139	5.7024e-02	0
21:34713331	ENST00000270139	1.1850e-01	0
21:34713332	ENST00000270139	1.0880e-01	1
21:34713333	ENST00000270139	1.4652e-01	0
21:34713334	ENST00000270139	2.4185e-01	1
21:34713336	ENST00000270139	2.1807e-01	0
21:34713337	ENST00000270139	3.0325e-01	1
21:34713339	ENST00000270139	1.7082e-01	1
21:34713340	ENST00000270139	2.9970e-01	0
21:34713341	ENST00000270139	2.1496e-02	0
21:34713342	ENST00000270139	9.1174e-02	0
21:34713343	ENST00000270139	1.6425e-01	2
21:34713344	ENST00000270139	1.2797e-01	1
21:34713345	ENST00000270139	1.0590e-01	0
21:34713346	ENST00000270139	2.1586e-01	0
21:34713347	ENST00000270139	6.2629e-02	0
21:34713348	ENST00000270139	2.9196e-01	1
21:34713349	ENST00000270139	2.1586e-01	0
21:34713350	ENST00000270139	2.7685e-02	0
21:34713351	ENST00000270139	1.7112e-01	0
21:34713352	ENST00000270139	2.6806e-01	0
21:34713354	ENST00000270139	1.5034e-01	1
