locus	transcript	exp	obs
10:89624230	ENST00000371953	1.4541e-01	1
10:89624231	ENST00000371953	2.9744e-01	0
10:89624233	ENST00000371953	2.4586e-01	0
10:89624234	ENST00000371953	2.9822e-01	0
10:89624236	ENST00000371953	3.1761e-01	0
10:89624237	ENST00000371953	1.9033e-01	0
10:89624238	ENST00000371953	4.3530e-02	0
10:89624239	ENST00000371953	3.1761e-01	0
10:89624240	ENST00000371953	1.9033e-01	0
10:89624241	ENST00000371953	4.3530e-02	0
10:89624242	ENST00000371953	1.1760e-01	0
10:89624243	ENST00000371953	1.2046e-01	0
10:89624244	ENST00000371953	4.9657e-02	0
10:89624245	ENST00000371953	1.8604e-01	0
10:89624246	ENST00000371953	1.1204e-01	0
10:89624247	ENST00000371953	1.2700e-01	0
10:89624248	ENST00000371953	1.9033e-01	0
10:89624249	ENST00000371953	1.9033e-01	0
10:89624250	ENST00000371953	1.1224e-01	0
10:89624251	ENST00000371953	7.7741e-01	0
10:89624252	ENST00000371953	1.6248e-01	0
10:89624254	ENST00000371953	4.3945e-02	0
10:89624255	ENST00000371953	2.4586e-01	0
10:89624256	ENST00000371953	1.0178e-01	0
10:89624257	ENST00000371953	1.0641e-01	0
10:89624258	ENST00000371953	2.4002e-01	0
10:89624259	ENST00000371953	4.3746e-02	0
10:89624260	ENST00000371953	1.2046e-01	0
10:89624261	ENST00000371953	1.6248e-01	0
10:89624262	ENST00000371953	1.0798e-01	0
10:89624263	ENST00000371953	1.1760e-01	0
10:89624264	ENST00000371953	8.3259e-02	0
10:89624265	ENST00000371953	5.8895e-02	0
10:89624266	ENST00000371953	9.9072e-02	0
10:89624267	ENST00000371953	2.5483e-01	0
10:89624268	ENST00000371953	1.0456e-01	0
10:89624269	ENST00000371953	6.3515e-02	0
10:89624270	ENST00000371953	2.4002e-01	0
10:89624271	ENST00000371953	8.1690e-02	0
10:89624272	ENST00000371953	2.8976e-01	0
10:89624273	ENST00000371953	2.8976e-01	0
10:89624275	ENST00000371953	9.0487e-02	0
10:89624276	ENST00000371953	1.3628e-01	0
10:89624277	ENST00000371953	4.9657e-02	0
10:89624278	ENST00000371953	1.8604e-01	0
10:89624279	ENST00000371953	1.1204e-01	0
10:89624280	ENST00000371953	8.9310e-02	0
10:89624281	ENST00000371953	2.6040e-01	0
10:89624282	ENST00000371953	1.9033e-01	0
10:89624283	ENST00000371953	4.7703e-02	0
10:89624284	ENST00000371953	1.7280e-01	0
10:89624285	ENST00000371953	2.6040e-01	0
10:89624287	ENST00000371953	2.1423e-01	0
10:89624288	ENST00000371953	1.0510e-01	0
10:89624289	ENST00000371953	2.1694e-01	0
10:89624290	ENST00000371953	6.0986e-01	0
10:89624291	ENST00000371953	1.4541e-01	0
10:89624292	ENST00000371953	1.0429e-01	0
10:89624293	ENST00000371953	4.9657e-02	0
10:89624294	ENST00000371953	8.4040e-02	0
10:89624295	ENST00000371953	4.3945e-02	0
10:89624296	ENST00000371953	2.4002e-01	0
10:89624297	ENST00000371953	1.4541e-01	0
10:89624298	ENST00000371953	1.0429e-01	0
10:89624299	ENST00000371953	4.9657e-02	0
10:89624300	ENST00000371953	1.1760e-01	0
10:89624301	ENST00000371953	9.0487e-02	0
10:89624302	ENST00000371953	1.4541e-01	0
10:89624303	ENST00000371953	3.6874e-01	0
10:89624305	ENST00000371953	1.6301e-01	0
10:89653782	ENST00000371953	1.9033e-01	0
10:89653784	ENST00000371953	2.8976e-01	0
10:89653785	ENST00000371953	2.1423e-01	1
10:89653786	ENST00000371953	3.7206e-02	0
10:89653787	ENST00000371953	1.4846e-01	1
10:89653788	ENST00000371953	2.8976e-01	1
10:89653790	ENST00000371953	2.6040e-01	0
10:89653791	ENST00000371953	2.1643e-01	0
10:89653793	ENST00000371953	1.2046e-01	0
10:89653794	ENST00000371953	1.6248e-01	0
10:89653795	ENST00000371953	1.0798e-01	0
10:89653796	ENST00000371953	3.1761e-01	0
10:89653797	ENST00000371953	2.1423e-01	0
10:89653798	ENST00000371953	2.7477e-02	0
10:89653799	ENST00000371953	2.8976e-01	0
10:89653800	ENST00000371953	2.1423e-01	0
10:89653801	ENST00000371953	3.9873e-02	0
10:89653802	ENST00000371953	2.4173e-01	0
10:89653803	ENST00000371953	2.4586e-01	0
10:89653805	ENST00000371953	2.8976e-01	0
10:89653806	ENST00000371953	3.1761e-01	0
10:89653807	ENST00000371953	2.1643e-01	0
10:89653808	ENST00000371953	2.3942e-01	0
10:89653809	ENST00000371953	2.6040e-01	0
10:89653811	ENST00000371953	2.1423e-01	0
10:89653812	ENST00000371953	1.2046e-01	0
10:89653813	ENST00000371953	4.3746e-02	0
10:89653814	ENST00000371953	2.6040e-01	0
10:89653815	ENST00000371953	2.5483e-01	0
10:89653817	ENST00000371953	2.4173e-01	0
10:89653818	ENST00000371953	2.4173e-01	0
10:89653820	ENST00000371953	1.8604e-01	0
10:89653821	ENST00000371953	1.0510e-01	0
10:89653822	ENST00000371953	5.8895e-02	1
10:89653823	ENST00000371953	7.9872e-02	0
10:89653824	ENST00000371953	2.4002e-01	0
10:89653825	ENST00000371953	5.9316e-02	0
10:89653826	ENST00000371953	2.6604e-01	0
10:89653827	ENST00000371953	1.2953e-01	0
10:89653829	ENST00000371953	1.6141e-01	0
10:89653830	ENST00000371953	1.0510e-01	0
10:89653831	ENST00000371953	4.9657e-02	0
10:89653832	ENST00000371953	2.5483e-01	0
10:89653833	ENST00000371953	2.9822e-01	0
10:89653835	ENST00000371953	3.1167e+00	1
10:89653836	ENST00000371953	1.6983e-01	0
10:89653838	ENST00000371953	2.8976e-01	0
10:89653839	ENST00000371953	1.6983e-01	0
10:89653841	ENST00000371953	1.3006e-01	0
10:89653842	ENST00000371953	2.5483e-01	0
10:89653843	ENST00000371953	1.0456e-01	0
10:89653844	ENST00000371953	1.0510e-01	0
10:89653845	ENST00000371953	1.6248e-01	0
10:89653846	ENST00000371953	1.0798e-01	0
10:89653847	ENST00000371953	1.3628e-01	0
10:89653848	ENST00000371953	2.1423e-01	0
10:89653849	ENST00000371953	6.2157e-02	0
