locus	transcript	exp	obs
12:40618937	ENST00000298910	2.9384e-01	0
12:40618938	ENST00000298910	2.4224e-01	2
12:40618940	ENST00000298910	1.4701e-01	0
12:40618941	ENST00000298910	2.6213e-01	0
12:40618942	ENST00000298910	6.5300e-02	0
12:40618943	ENST00000298910	2.1324e-01	0
12:40618944	ENST00000298910	2.9384e-01	1
12:40618946	ENST00000298910	1.6061e-01	0
12:40618947	ENST00000298910	2.4224e-01	0
12:40618948	ENST00000298910	4.0074e-02	0
12:40618949	ENST00000298910	1.6061e-01	0
12:40618950	ENST00000298910	2.9307e-01	0
12:40618951	ENST00000298910	2.1021e-02	0
12:40618952	ENST00000298910	8.9156e-02	0
12:40618953	ENST00000298910	1.6061e-01	0
12:40618954	ENST00000298910	8.7997e-02	0
12:40618955	ENST00000298910	2.9654e-01	1
12:40618956	ENST00000298910	2.9654e-01	0
12:40618958	ENST00000298910	1.6704e-01	1
12:40618959	ENST00000298910	2.3818e-01	0
12:40618960	ENST00000298910	7.9506e-02	0
12:40618961	ENST00000298910	4.9773e-01	0
12:40618962	ENST00000298910	1.0355e-01	2
12:40618963	ENST00000298910	4.8927e-02	0
12:40618964	ENST00000298910	1.8330e-01	0
12:40618965	ENST00000298910	1.1040e-01	0
12:40618966	ENST00000298910	8.7997e-02	0
12:40618967	ENST00000298910	2.5657e-01	0
12:40618968	ENST00000298910	1.4327e-01	0
12:40618969	ENST00000298910	2.3295e-01	0
12:40618970	ENST00000298910	4.9773e-01	0
12:40618971	ENST00000298910	1.1040e-01	0
12:40618972	ENST00000298910	8.7997e-02	1
12:40618973	ENST00000298910	2.0451e-01	0
12:40618974	ENST00000298910	1.0355e-01	0
12:40618975	ENST00000298910	5.8029e-02	0
12:40618976	ENST00000298910	1.6009e-01	1
12:40618977	ENST00000298910	2.6213e-01	0
12:40618979	ENST00000298910	1.2514e-01	0
12:40618980	ENST00000298910	1.6061e-01	0
12:40618982	ENST00000298910	8.4693e-02	0
12:40618983	ENST00000298910	1.2762e-01	0
12:40618984	ENST00000298910	1.2514e-01	1
12:40618985	ENST00000298910	8.4693e-02	0
12:40618986	ENST00000298910	1.2762e-01	0
12:40618987	ENST00000298910	1.0276e-01	0
12:40618988	ENST00000298910	5.5023e-02	0
12:40618989	ENST00000298910	1.1587e-01	0
12:40618990	ENST00000298910	8.9156e-02	0
12:40618991	ENST00000298910	1.8753e-01	0
12:40618992	ENST00000298910	2.8550e-01	0
12:40618993	ENST00000298910	1.0371e-01	0
12:40618994	ENST00000298910	2.6213e-01	0
12:40618995	ENST00000298910	1.4327e-01	0
12:40618997	ENST00000298910	1.2815e-01	0
12:40618998	ENST00000298910	2.5108e-01	0
12:40618999	ENST00000298910	1.2087e-01	0
12:40619000	ENST00000298910	8.6230e-02	0
12:40619001	ENST00000298910	1.6061e-01	0
12:40619003	ENST00000298910	1.0355e-01	0
12:40619004	ENST00000298910	1.6009e-01	1
12:40619005	ENST00000298910	1.0639e-01	0
12:40619006	ENST00000298910	1.3427e-01	0
12:40619007	ENST00000298910	2.1108e-01	0
12:40619008	ENST00000298910	8.7104e-02	0
12:40619009	ENST00000298910	2.9307e-01	1
12:40619010	ENST00000298910	1.4327e-01	0
12:40619012	ENST00000298910	7.8558e-02	0
12:40619013	ENST00000298910	1.6061e-01	1
12:40619014	ENST00000298910	8.7997e-02	0
12:40619015	ENST00000298910	2.0451e-01	0
12:40619016	ENST00000298910	1.0355e-01	0
12:40619017	ENST00000298910	4.8927e-02	0
12:40619018	ENST00000298910	2.1685e-01	0
12:40619019	ENST00000298910	2.5657e-01	0
12:40619021	ENST00000298910	9.7323e-02	0
12:40619022	ENST00000298910	1.1869e-01	0
12:40619023	ENST00000298910	5.5023e-02	0
12:40619024	ENST00000298910	1.0639e-01	0
12:40619025	ENST00000298910	1.6061e-01	0
12:40619026	ENST00000298910	1.2514e-01	0
12:40619027	ENST00000298910	1.8753e-01	1
12:40619028	ENST00000298910	2.8550e-01	0
12:40619029	ENST00000298910	1.0371e-01	0
