locus	transcript	exp	obs
4:153244036	ENST00000281708	1.0334e-01	0
4:153244037	ENST00000281708	1.2835e-01	0
4:153244038	ENST00000281708	8.5172e-02	1
4:153244039	ENST00000281708	2.0647e-01	0
4:153244040	ENST00000281708	3.1471e-01	1
4:153244041	ENST00000281708	3.1471e-01	0
4:153244042	ENST00000281708	1.0700e-01	0
4:153244043	ENST00000281708	1.4408e-01	0
4:153244044	ENST00000281708	2.5802e-01	0
4:153244046	ENST00000281708	1.6799e-01	0
4:153244047	ENST00000281708	2.9473e-01	0
4:153244048	ENST00000281708	8.7597e-02	0
4:153244049	ENST00000281708	1.8859e-01	0
4:153244050	ENST00000281708	2.0647e-01	0
4:153244051	ENST00000281708	5.8012e-02	0
4:153244052	ENST00000281708	1.1936e-01	0
4:153244053	ENST00000281708	1.2835e-01	0
4:153244054	ENST00000281708	1.0334e-01	0
4:153244055	ENST00000281708	1.4408e-01	0
4:153244056	ENST00000281708	2.5802e-01	0
4:153244058	ENST00000281708	1.6152e-01	0
4:153244059	ENST00000281708	8.6718e-02	0
4:153244061	ENST00000281708	1.6799e-01	0
4:153244062	ENST00000281708	3.6537e-01	0
4:153244064	ENST00000281708	1.6152e-01	0
4:153244065	ENST00000281708	8.6718e-02	0
4:153244067	ENST00000281708	1.6152e-01	0
4:153244068	ENST00000281708	8.6718e-02	0
4:153244069	ENST00000281708	8.6718e-02	0
4:153244070	ENST00000281708	1.2835e-01	0
4:153244071	ENST00000281708	1.1653e-01	0
4:153244073	ENST00000281708	3.6537e-01	0
4:153244074	ENST00000281708	1.6100e-01	0
4:153244075	ENST00000281708	5.8357e-02	0
4:153244076	ENST00000281708	1.0414e-01	0
4:153244077	ENST00000281708	1.8434e-01	0
4:153244078	ENST00000281708	4.9204e-02	0
4:153244079	ENST00000281708	1.0414e-01	0
4:153244080	ENST00000281708	1.5994e-01	0
4:153244082	ENST00000281708	2.6361e-01	0
4:153244083	ENST00000281708	1.4408e-01	0
4:153244085	ENST00000281708	2.9822e-01	0
4:153244086	ENST00000281708	2.1445e-01	0
4:153244087	ENST00000281708	8.7597e-02	0
4:153244088	ENST00000281708	2.1227e-01	0
4:153244089	ENST00000281708	1.0414e-01	0
4:153244091	ENST00000281708	2.7270e+00	0
4:153244092	ENST00000281708	2.1265e+00	0
4:153244093	ENST00000281708	5.8774e-02	0
4:153244094	ENST00000281708	2.6361e-01	0
4:153244095	ENST00000281708	1.1102e-01	0
4:153244097	ENST00000281708	2.9822e-01	0
4:153244098	ENST00000281708	2.1445e-01	0
4:153244100	ENST00000281708	1.6100e-01	0
4:153244101	ENST00000281708	2.6361e-01	0
4:153244103	ENST00000281708	2.3952e-01	0
4:153244104	ENST00000281708	2.3952e-01	0
4:153244105	ENST00000281708	3.7233e-02	0
4:153244106	ENST00000281708	2.9473e-01	0
4:153244107	ENST00000281708	1.6799e-01	0
4:153244109	ENST00000281708	1.6799e-01	0
4:153244110	ENST00000281708	3.6537e-01	0
4:153244112	ENST00000281708	1.6152e-01	0
4:153244113	ENST00000281708	8.6718e-02	0
4:153244114	ENST00000281708	8.6718e-02	0
4:153244115	ENST00000281708	1.2835e-01	0
4:153244116	ENST00000281708	9.7873e-02	0
4:153244118	ENST00000281708	2.9473e-01	0
4:153244119	ENST00000281708	1.6799e-01	0
4:153244120	ENST00000281708	1.0700e-01	0
4:153244121	ENST00000281708	1.6100e-01	0
4:153244122	ENST00000281708	1.1936e-01	1
4:153244124	ENST00000281708	1.1681e-01	0
4:153244125	ENST00000281708	1.1102e-01	0
4:153244127	ENST00000281708	2.9550e-01	0
4:153244128	ENST00000281708	2.4361e-01	1
4:153244129	ENST00000281708	4.8086e-02	0
4:153244130	ENST00000281708	2.3783e-01	0
4:153244131	ENST00000281708	1.0544e-01	0
4:153244132	ENST00000281708	4.3132e-02	0
4:153244133	ENST00000281708	1.8859e-01	0
4:153244134	ENST00000281708	1.8859e-01	1
4:153244136	ENST00000281708	2.7270e+00	0
4:153244137	ENST00000281708	2.5567e+00	0
4:153244138	ENST00000281708	1.2155e-01	0
4:153244139	ENST00000281708	7.9002e-02	0
4:153244140	ENST00000281708	1.6799e-01	0
4:153244142	ENST00000281708	1.6799e-01	0
4:153244143	ENST00000281708	2.9473e-01	0
4:153244145	ENST00000281708	1.6100e-01	0
